id,date,text,user,likes,retweets,sentiment,product
1000000000000000000,2025-06-03 17:31:22,Is anyone else having issues with the Galaxy S24?,user_8526,87,65,-0.396,Galaxy S24
1000000000000000001,2025-06-11 17:31:22,Is anyone else having issues with the Galaxy S24?,user_8050,442,31,-0.612,Galaxy S24
1000000000000000002,2025-06-20 17:31:22,Not happy with the Galaxy S24 battery life.,user_9975,32,46,-0.585,Galaxy S24
1000000000000000003,2025-06-24 17:31:22,The Galaxy S24 is totally worth the price.,user_2949,119,5,-0.908,Galaxy S24
1000000000000000004,2025-06-19 17:31:22,Worst experience with Galaxy S24 so far.,user_8883,147,91,0.637,Galaxy S24
1000000000000000005,2025-06-12 17:31:22,The Galaxy S24 camera quality is insane.,user_9123,250,94,-0.224,Galaxy S24
1000000000000000006,2025-06-26 17:31:22,Is anyone else having issues with the Galaxy S24?,user_6591,445,84,-0.058,Galaxy S24
1000000000000000007,2025-06-29 17:31:22,Best phone ever: Galaxy S24,user_7393,292,82,0.891,Galaxy S24
1000000000000000008,2025-06-25 17:31:22,Absolutely loving my new Galaxy S24!,user_5409,14,39,0.991,Galaxy S24
1000000000000000009,2025-06-13 17:31:22,Worst experience with Galaxy S24 so far.,user_9088,343,65,-0.129,Galaxy S24
1000000000000000010,2025-06-03 17:31:22,Absolutely loving my new Galaxy S24!,user_6408,390,95,0.088,Galaxy S24
1000000000000000011,2025-06-04 17:31:22,Best phone ever: Galaxy S24,user_3033,339,31,0.628,Galaxy S24
1000000000000000012,2025-06-30 17:31:22,Not happy with the Galaxy S24 battery life.,user_3508,63,27,0.811,Galaxy S24
1000000000000000013,2025-06-17 17:31:22,Best phone ever: Galaxy S24,user_2523,106,67,-0.619,Galaxy S24
1000000000000000014,2025-06-01 17:31:22,Not happy with the Galaxy S24 battery life.,user_2574,419,99,0.532,Galaxy S24
1000000000000000015,2025-06-23 17:31:22,Is anyone else having issues with the Galaxy S24?,user_8868,370,12,-0.472,Galaxy S24
1000000000000000016,2025-06-21 17:31:22,Absolutely loving my new Galaxy S24!,user_1984,224,13,0.315,Galaxy S24
1000000000000000017,2025-06-25 17:31:22,Worst experience with Galaxy S24 so far.,user_6559,221,9,0.378,Galaxy S24
1000000000000000018,2025-06-29 17:31:22,I just bought the Galaxy S24 and it's amazing!,user_1688,495,28,-0.905,Galaxy S24
1000000000000000019,2025-06-18 17:31:22,The Galaxy S24 is totally worth the price.,user_5874,5,60,0.239,Galaxy S24
1000000000000000020,2025-06-12 17:31:22,I just bought the Galaxy S24 and it's amazing!,user_9461,313,94,0.018,Galaxy S24
1000000000000000021,2025-06-29 17:31:22,The Galaxy S24 is totally worth the price.,user_3141,269,2,0.433,Galaxy S24
1000000000000000022,2025-06-29 17:31:22,Absolutely loving my new Galaxy S24!,user_5332,45,78,-0.241,Galaxy S24
1000000000000000023,2025-06-29 17:31:22,Unboxing my Galaxy S24 today!,user_1762,321,78,-0.371,Galaxy S24
1000000000000000024,2025-06-24 17:31:22,I just bought the Galaxy S24 and it's amazing!,user_9708,485,99,-0.132,Galaxy S24
1000000000000000025,2025-06-20 17:31:22,Thinking of switching to the Galaxy S24.,user_9939,176,67,-0.433,Galaxy S24
1000000000000000026,2025-06-19 17:31:22,Unboxing my Galaxy S24 today!,user_5413,306,65,0.459,Galaxy S24
1000000000000000027,2025-05-31 17:31:22,Absolutely loving my new Galaxy S24!,user_7379,307,68,-0.375,Galaxy S24
1000000000000000028,2025-06-26 17:31:22,Worst experience with Galaxy S24 so far.,user_7984,33,27,-0.458,Galaxy S24
1000000000000000029,2025-06-25 17:31:22,Unboxing my Galaxy S24 today!,user_9025,79,8,0.264,Galaxy S24
1000000000000000030,2025-06-27 17:31:22,Unboxing my Galaxy S24 today!,user_5122,127,92,-0.879,Galaxy S24
1000000000000000031,2025-06-05 17:31:22,I just bought the Galaxy S24 and it's amazing!,user_8557,212,52,-0.634,Galaxy S24
1000000000000000032,2025-06-02 17:31:22,Absolutely loving my new Galaxy S24!,user_1671,307,38,-0.895,Galaxy S24
1000000000000000033,2025-06-13 17:31:22,I just bought the Galaxy S24 and it's amazing!,user_6202,339,52,0.999,Galaxy S24
1000000000000000034,2025-06-08 17:31:22,Absolutely loving my new Galaxy S24!,user_8198,364,50,-0.739,Galaxy S24
1000000000000000035,2025-06-22 17:31:22,Not happy with the Galaxy S24 battery life.,user_9030,447,6,0.743,Galaxy S24
1000000000000000036,2025-06-02 17:31:22,Is anyone else having issues with the Galaxy S24?,user_5660,499,82,0.701,Galaxy S24
1000000000000000037,2025-05-31 17:31:22,I just bought the Galaxy S24 and it's amazing!,user_9981,404,56,-0.377,Galaxy S24
1000000000000000038,2025-06-25 17:31:22,Not happy with the Galaxy S24 battery life.,user_6193,306,43,-0.931,Galaxy S24
1000000000000000039,2025-06-01 17:31:22,Worst experience with Galaxy S24 so far.,user_3243,386,89,-0.309,Galaxy S24
1000000000000000040,2025-06-27 17:31:22,Is anyone else having issues with the Galaxy S24?,user_5375,65,77,-0.495,Galaxy S24
1000000000000000041,2025-06-06 17:31:22,Absolutely loving my new Galaxy S24!,user_4518,426,76,-0.003,Galaxy S24
1000000000000000042,2025-06-19 17:31:22,The Galaxy S24 camera quality is insane.,user_8535,129,29,-0.983,Galaxy S24
1000000000000000043,2025-06-04 17:31:22,The Galaxy S24 camera quality is insane.,user_5185,311,96,-0.295,Galaxy S24
1000000000000000044,2025-06-22 17:31:22,Unboxing my Galaxy S24 today!,user_4534,496,28,-0.759,Galaxy S24
1000000000000000045,2025-06-01 17:31:22,Absolutely loving my new Galaxy S24!,user_5534,42,17,-0.674,Galaxy S24
1000000000000000046,2025-06-24 17:31:22,Best phone ever: Galaxy S24,user_2348,125,12,-0.012,Galaxy S24
1000000000000000047,2025-06-28 17:31:22,Is anyone else having issues with the Galaxy S24?,user_7048,55,45,0.374,Galaxy S24
1000000000000000048,2025-06-29 17:31:22,Unboxing my Galaxy S24 today!,user_9415,288,80,-0.058,Galaxy S24
1000000000000000049,2025-06-23 17:31:22,The Galaxy S24 is totally worth the price.,user_1019,140,98,-0.051,Galaxy S24
1000000000000000050,2025-06-16 17:31:22,Unboxing my Galaxy S24 today!,user_9111,11,56,-0.613,Galaxy S24
1000000000000000051,2025-06-05 17:31:22,Unboxing my Galaxy S24 today!,user_4569,42,39,-0.216,Galaxy S24
1000000000000000052,2025-06-24 17:31:22,The Galaxy S24 camera quality is insane.,user_6946,488,35,0.483,Galaxy S24
1000000000000000053,2025-06-19 17:31:22,The Galaxy S24 is totally worth the price.,user_8931,462,28,0.326,Galaxy S24
1000000000000000054,2025-06-09 17:31:22,Is anyone else having issues with the Galaxy S24?,user_2361,367,85,-0.101,Galaxy S24
1000000000000000055,2025-06-17 17:31:22,Worst experience with Galaxy S24 so far.,user_1920,129,20,-0.623,Galaxy S24
1000000000000000056,2025-06-09 17:31:22,Not happy with the Galaxy S24 battery life.,user_5236,231,87,-0.841,Galaxy S24
1000000000000000057,2025-06-13 17:31:22,Unboxing my Galaxy S24 today!,user_6503,255,4,-0.272,Galaxy S24
1000000000000000058,2025-06-29 17:31:22,Not happy with the Galaxy S24 battery life.,user_8410,136,0,0.332,Galaxy S24
1000000000000000059,2025-06-14 17:31:22,Absolutely loving my new Galaxy S24!,user_7172,439,82,0.314,Galaxy S24
1000000000000000060,2025-06-15 17:31:22,Is anyone else having issues with the Galaxy S24?,user_6735,83,18,0.503,Galaxy S24
1000000000000000061,2025-06-17 17:31:22,I just bought the Galaxy S24 and it's amazing!,user_5569,5,75,-0.91,Galaxy S24
